Species,Exotic,Invasive,Monocot
Abutilon theophrasti,1,0,0
Acalypha gracilens,0,,0
Acalypha spp,0,,0
Acalypha virginica,0,,0
Acer negundo,0,,0
Acer rubrum,0,,0
Acer saccharinum,0,,0
Acer saccharum,0,,0
Achillea millefolium,0,,0
Actaea pachypoda,0,,0
Aesculus glabra,0,,0
Agalinis gattingeri,0,,0
Agalinis tenuifolia,0,,0
Agalinis viridis,0,,0
Agastache nepetoides,0,,0
Ageratina altissima,0,,0
Agrimonia pubescens,0,,0
Agrimonia rostellata,0,,0
Ailanthus altissima,1,1,0
Alisma triviale,0,,1
Alliaria petiolata,1,1,0
Ambrosia artemisiifolia,0,,0
Ambrosia trifida,0,,0
Amelanchier arborea,0,,0
Amorpha canescens,0,,0
Ampelopsis cordata,0,,0
Amphicarpaea bracteata,0,,0
Amsonia ciliata,0,,0
Androsace occidentalis,0,,0
Anemone canadensis,0,,0
Anemone virginiana,0,,0
Antennaria plantaginifolia,0,,0
Aplectrum hyemale,0,,1
Apocynum cannabinum,0,,0
Aquilegia canadensis,0,,0
Arabidopsis thaliana,1,0,0
Arabis canadensis,0,,0
Arabis laevigata,0,,0
Arabis shortii,0,,0
Arctium minus,1,0,0
Arenaria serpyllifolia,1,0,0
Arisaema dracontium,0,,1
Arisaema triphyllum,0,,1
Aristolochia tomentosa,0,,0
Arnoglossum atriplicifolium,0,,0
Arnoglossum muhlenbergii,0,,0
Artemisia dracunculus,0,,0
Aruncus dioicus,0,,0
Asarum canadense,0,,0
Asclepias  purpurascens,0,,0
Asclepias incarnata,0,,0
Asclepias quadrifolia,0,,0
Asclepias syriaca,0,,0
Asclepias tuberosa,0,,0
Asclepias verticillata,0,,0
Asclepias viridiflora,0,,0
Asclepias viridis,0,,0
Asimina triloba,0,,0
Aster anomalus,0,,0
Aster brachyactis,0,,0
Aster cordifolius,0,,0
Aster drummondii,0,,0
Aster ericoides,0,,0
Aster fragilis,0,,0
Aster lanceolatus,0,,0
Aster lateriflorus,0,,0
Aster linariifolius,0,,0
Aster novae-angliae,0,,0
Aster oblongifolius,0,,0
Aster ontarionis,0,,0
Aster parviceps,0,,0
Aster patens,0,,0
Aster pilosus,0,,0
Aster turbinellus,0,,0
Aster urophyllus,0,,0
Astragalus crassicarpus,0,,0
Aureolaria grandiflora,0,,0
Aureolaria pectinata,0,,0
Bacopa rotundifolia,0,,0
Baptisia australis,0,,0
Baptisia bracteata,0,,0
Barbarea vulgaris,1,0,0
Berberis thunbergii,1,1,0
Bidens aristosa,0,,0
Bidens discoidea,0,,0
Bidens frondosa,0,,0
Blephilia ciliata,0,,0
Blephilia hirsuta,0,,0
Boehmeria cylindrica,0,,0
Brassica nigra,1,0,0
Brickellia eupatorioides ,0,,0
Broussonetia papyrifera,1,1,0
Buglossoides arvense,1,0,0
Buphthalmum melissoides,0,,0
Calylophus serrulatus,0,,0
Calystegia sepium,0,,0
Camassia scilloides,0,,1
Campanula americana,0,,0
Campsis radicans,0,,0
Capsella bursa-pastoris,1,0,0
Cardamine concatenata,0,,0
Cardamine parviflora,0,,0
Carduus nutans,1,0,0
Carya cordiformis,0,,0
Carya glabra,0,,0
Carya ovata,0,,0
Carya spp,0,,0
Carya spp,0,,0
Carya texana,0,,0
Carya tomentosa,0,,0
Ceanothus americanus,0,,0
Celastrus orbiculatus,1,1,0
Celastrus scandens,0,,0
Celtis occidentalis,0,,0
Celtis tenuifolia,0,,0
Centaurea cyanus,1,0,0
Cerastium brachypedalum,1,0,0
Cerastium fontanum,1,0,0
Cerastium pumilum,1,0,0
Ceratophyllum demersum,0,,0
Cercis canadensis,0,,0
Chaerophyllum tainturieri,0,,0
Chamaecrista fasciculata,0,,0
Chamaecrista nictitans,0,,0
Chenopodium album,1,0,0
Cichorium intybus,0,,0
Circaea lutetiana,0,,0
Cirsium altissimum,0,,0
Cirsium discolor,0,,0
Cirsium vulgare,1,1,0
Claytonia virginica,0,,0
Clematis  versicolor,0,,0
Clematis spp,0,,0
Clematis terniflora,0,,0
Clematis virginiana,0,,0
Comandra umbellata,0,,0
Commelina  erecta,0,,1
Commelina communis,1,0,1
Conoclinium coelestinum,0,,0
Convolvulus arvensis,1,0,0
Conyza canadensis,0,,0
Corallorhiza odontorhiza,0,,1
Corallorhiza wisteriana,0,,1
Coreopsis lanceolata,0,,0
Coreopsis palmata,0,,0
Coreopsis tripteris,0,,0
Cornus alternifolia,0,,0
Cornus drummondii,0,,0
Cornus florida,0,,0
Cornus foemina,0,,0
Corydalis flavula,0,,0
Corylus americana,0,,0
Crataegus crus-galli,0,,0
Crataegus pruinosa,0,,0
Crotalaria sagittalis,0,,0
Croton glandulosus,0,,0
Croton monanthogynus,0,,0
Cruciata pedemontana,1,0,0
Cunila origanoides,0,,0
Cuphea viscosissima,0,,0
Cuscuta polygonorum,0,,0
Cynoglossum virginianum,0,,0
Dalea candida,0,,0
Dalea purpurea,0,,0
Dasistoma macrophylla,0,,0
Datura stramonium,1,0,0
Daucus  pusillus,0,,0
Daucus carota,1,1,0
